Certificate,Issuer,Issued,Credential ID
Demand and Capacity Management for Operations,LinkedInLinkedIn,May 2024,
IT Security Foundations: Core Concepts,LinkedInLinkedIn,May 2024,
Advanced Cardiovascular Life Support (ACLS),The Postgraduate Institute for MedicineThe Postgraduate Institute for Medicine,Apr 2024 · Expires Apr 2026,
"CPR, AED & First Aid Certification Course",Save a Life Certifications by NHCPSSave a Life Certifications by NHCPS,Apr 2024 · Expires Apr 2026,
An Introduction to Accessibility and Inclusive Design,University of Illinois at Urbana-Champaign| CourseraUniversity of Illinois at Urbana-Champaign| Coursera,Jul 2023,
What is Social?,Northwestern UniversityNorthwestern University,Jun 2023,
Design Thinking for Innovation,University of VirginiaUniversity of Virginia,Jun 2023,
Design and Develop a Website using Figma and CSS,Coursera Project NetworkCoursera Project Network,Jun 2023,
Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney Business SchoolThe University of Sydney Business School,Jun 2023,
Digital Marketing Analytics in Practice,University of Illinois at Urbana-Champaign| CourseraUniversity of Illinois at Urbana-Champaign| Coursera,Jun 2023,
Digital Marketing Analytics in Theory,University of Illinois at Urbana-Champaign| CourseraUniversity of Illinois at Urbana-Champaign| Coursera,Jun 2023,
Digital Marketing Specialization,University of Illinois at Urbana-ChampaignUniversity of Illinois at Urbana-Champaign,Jun 2023,
Digital Media and Marketing Strategies,University of Illinois at Urbana-ChampaignUniversity of Illinois at Urbana-Champaign,Jun 2023,
Fundamentals of Graphic Design,California Institute of the ArtsCalifornia Institute of the Arts,Jun 2023,
Get Started with Figma,CourseraCoursera,Jun 2023,
Google Digital Marketing & E-commerce Specialization,GoogleGoogle,Jun 2023,
Google Digital Marketing & E-commerce Specialization,GoogleGoogle,Jun 2023,
Marketing in a Digital World,University of Illinois at Urbana-Champaign| CourseraUniversity of Illinois at Urbana-Champaign| Coursera,Jun 2023,
UI / UX Design Specialization,California Institute of the ArtsCalifornia Institute of the Arts,Jun 2023,
UI / UX Design Specialization,California Institute of the ArtsCalifornia Institute of the Arts,Jun 2023,
UI / UX Design Specialization,California Institute of the ArtsCalifornia Institute of the Arts,Jun 2023,
UX Design Fundamentals,California Institute of the ArtsCalifornia Institute of the Arts,Jun 2023,
Visual Elements of User Interface Design,California Institute of the ArtsCalifornia Institute of the Arts,Jun 2023,
Web Design: Strategy and Information Architecture,California Institute of the ArtsCalifornia Institute of the Arts,Jun 2023,
Web Design: Wireframes to Prototypes,California Institute of the ArtsCalifornia Institute of the Arts,Jun 2023,
The Digital Marketing Revolution,University of Illinois at Urbana-Champaign| CourseraUniversity of Illinois at Urbana-Champaign| Coursera,Mar 2023,
Verified International Academic Qualifications,World Education ServicesWorld Education Services,Sep 2022,
CutShort Certified HTML/CSS - Basic,CutshortCutshort,Jan 2020,
Illustrator CC Masterclass,UdemyUdemy,Jun 2018,
Sketch Design,UdemyUdemy,Mar 2018,
Youtube MasterClass,UdemyUdemy,Mar 2018,
Adobe XD Course,UdemyUdemy,Jan 2018,
Graphics Design for Beginners,UdemyUdemy,Jun 2015,
"Programming With ""C""",United Latino Students AssociationUnited Latino Students Association,Aug 2013,
English Proficiency Certificate,Duolingo English TestDuolingo English Test,Feb 2023 · Expired Feb 2025,
Digital Marketing,UdemyUdemy,,
